Residual term;Time;Value
10 years;2014-12-29;1.06
10 years;2014-12-30;1.04
10 years;2014-12-31;1.04
10 years;2015-01-02;1.01
10 years;2015-01-05;0.97
10 years;2015-01-06;0.91
10 years;2015-01-07;0.92
10 years;2015-01-08;0.95
10 years;2015-01-09;0.93
10 years;2015-01-12;0.9
10 years;2015-01-13;0.87
10 years;2015-01-14;0.79
10 years;2015-01-15;0.79
10 years;2015-01-16;0.75
10 years;2015-01-19;0.76
10 years;2015-01-20;0.77
10 years;2015-01-21;0.81
10 years;2015-01-22;0.76
10 years;2015-01-23;0.67
10 years;2015-01-26;0.67
10 years;2015-01-27;0.68
10 years;2015-01-28;0.68
10 years;2015-01-29;0.68
10 years;2015-01-30;0.65
10 years;2015-02-02;0.63
10 years;2015-02-03;0.63
10 years;2015-02-04;0.65
10 years;2015-02-05;0.66
10 years;2015-02-06;0.67
10 years;2015-02-09;0.69
10 years;2015-02-10;0.72
10 years;2015-02-11;0.71
10 years;2015-02-12;0.69
10 years;2015-02-13;0.67
10 years;2015-02-16;0.68
10 years;2015-02-17;0.68
10 years;2015-02-18;0.7
10 years;2015-02-19;0.71
10 years;2015-02-20;0.68
10 years;2015-02-23;0.67
10 years;2015-02-24;0.66
10 years;2015-02-25;0.62
10 years;2015-02-26;0.56
10 years;2015-02-27;0.58
10 years;2015-03-02;0.58
10 years;2015-03-03;0.63
10 years;2015-03-04;0.63
10 years;2015-03-05;0.63
10 years;2015-03-06;0.62
10 years;2015-03-09;0.58
10 years;2015-03-10;0.49
10 years;2015-03-11;0.45
10 years;2015-03-12;0.42
10 years;2015-03-13;0.42
10 years;2015-03-16;0.42
10 years;2015-03-17;0.51
10 years;2015-03-18;0.46
10 years;2015-03-19;0.43
10 years;2015-03-20;0.42
10 years;2015-12-07;0.92
10 years;2015-12-08;0.86
10 years;2015-12-09;0.88
10 years;2015-12-10;0.88
10 years;2015-12-11;0.86
10 years;2015-12-14;0.9
10 years;2015-12-15;0.99
10 years;2015-12-16;0.98
10 years;2015-12-17;0.93
10 years;2015-12-18;0.88
10 years;2015-12-21;0.9
10 years;2015-12-22;0.95
10 years;2015-12-23;1
10 years;2015-12-24;1
10 years;2015-12-28;0.98
10 years;2015-12-29;1
10 years;2015-12-30;1.03
10 years;2015-12-31;1.01
10 years;2016-01-04;0.96
10 years;2016-01-05;0.94
10 years;2016-01-06;0.91
10 years;2016-01-07;0.94
10 years;2016-01-08;0.94
10 years;2016-01-11;0.94
10 years;2016-01-12;0.97
10 years;2016-01-13;0.9
10 years;2016-01-14;0.9
10 years;2016-01-15;0.87
10 years;2016-01-18;0.89
10 years;2016-01-19;0.9
10 years;2016-01-20;0.87
10 years;2016-01-21;0.84
10 years;2016-01-22;0.85
10 years;2016-01-25;0.85
10 years;2016-01-26;0.81
10 years;2016-01-27;0.81
10 years;2016-01-28;0.77
10 years;2016-01-29;0.7
10 years;2016-02-01;0.7
10 years;2016-02-02;0.69
10 years;2016-02-03;0.7
10 years;2016-02-04;0.67
10 years;2016-02-05;0.69
10 years;2016-02-08;0.65
10 years;2016-02-09;0.68
10 years;2016-02-10;0.68
10 years;2016-02-11;0.64
10 years;2016-02-12;0.68
10 years;2016-02-15;0.68
10 years;2016-02-16;0.69
10 years;2016-02-17;0.69
10 years;2016-02-18;0.65
10 years;2016-02-19;0.61
10 years;2016-02-22;0.59
10 years;2016-02-23;0.61
10 years;2016-02-24;0.56
10 years;2016-02-25;0.59
10 years;2016-02-26;0.55
10 years;2016-02-29;0.51
10 years;2016-03-01;0.52
10 years;2016-03-02;0.58
10 years;2016-03-03;0.59
10 years;2016-03-04;0.6
10 years;2016-03-07;0.59
10 years;2016-03-08;0.55
10 years;2016-03-09;0.59
10 years;2016-03-10;0.5
10 years;2016-03-11;0.58
10 years;2016-03-14;0.56
10 years;2016-03-15;0.61
10 years;2016-03-16;0.6
10 years;2016-03-17;0.55
10 years;2016-03-18;0.52
10 years;2016-03-21;0.54
10 years;2016-03-22;0.53
10 years;2016-03-23;0.54
10 years;2016-03-24;0.49
10 years;2016-03-29;0.46
10 years;2016-03-30;0.45
10 years;2016-03-31;0.45
10 years;2016-04-01;0.44
10 years;2016-04-04;0.43
10 years;2016-04-05;0.41
10 years;2016-04-06;0.44
10 years;2016-04-07;0.43
10 years;2016-04-08;0.42
10 years;2016-12-28;0.46
10 years;2016-12-29;0.57
10 years;2016-12-30;0.62
10 years;2017-01-02;0.38
10 years;2017-01-03;0.5
10 years;2017-01-04;0.54
10 years;2017-01-05;0.61
10 years;2017-01-06;0.56
10 years;2017-01-09;0.57
10 years;2017-01-10;0.56
10 years;2017-01-11;0.54
10 years;2017-01-12;0.54
10 years;2017-01-13;0.53
10 years;2017-01-16;0.56
10 years;2017-01-17;0.51
10 years;2017-01-18;0.53
10 years;2017-01-19;0.59
10 years;2017-01-20;0.66
10 years;2017-01-23;0.66
10 years;2017-01-24;0.63
10 years;2017-01-25;0.7
10 years;2017-01-26;0.76
10 years;2017-01-27;0.77
10 years;2017-01-30;0.78
10 years;2017-01-31;0.77
10 years;2017-02-01;0.7
10 years;2017-02-02;0.7
10 years;2017-02-03;0.76
10 years;2017-02-06;0.78
10 years;2017-02-07;0.74
10 years;2017-02-08;0.71
10 years;2017-02-09;0.63
10 years;2017-02-10;0.65
10 years;2017-02-13;0.64
10 years;2017-02-14;0.64
10 years;2017-02-15;0.64
10 years;2017-02-16;0.63
10 years;2017-02-17;0.6
10 years;2017-02-20;0.63
10 years;2017-02-21;0.63
10 years;2017-02-22;0.55
10 years;2017-02-23;0.5
10 years;2017-02-24;0.5
10 years;2017-02-27;0.48
10 years;2017-02-28;0.47
10 years;2017-03-01;0.48
10 years;2017-03-02;0.52
10 years;2017-03-03;0.56
10 years;2017-03-06;0.55
10 years;2017-03-07;0.56
10 years;2017-03-08;0.61
10 years;2017-03-09;0.61
10 years;2017-03-10;0.7
10 years;2017-03-13;0.71
10 years;2017-03-14;0.71
10 years;2017-03-15;0.68
10 years;2017-03-16;0.71
10 years;2017-03-17;0.7
10 years;2017-03-20;0.74
10 years;2017-03-21;0.75
10 years;2017-03-22;0.71
10 years;2017-03-23;0.66
10 years;2017-03-24;0.65
10 years;2017-03-27;0.64
10 years;2017-03-28;0.61
10 years;2017-03-29;0.6
10 years;2017-03-30;0.59
10 years;2017-03-31;0.58
10 years;2010-04-06;3.58
10 years;2010-04-07;3.56
10 years;2010-04-08;3.54
10 years;2010-04-09;3.54
10 years;2010-04-12;3.54
10 years;2010-04-13;3.54
10 years;2010-04-14;3.54
10 years;2010-04-15;3.56
10 years;2010-04-16;3.52
10 years;2010-04-19;3.49
10 years;2010-04-20;3.49
10 years;2010-04-21;3.52
10 years;2010-04-22;3.54
10 years;2010-04-23;3.56
10 years;2010-04-26;3.57
10 years;2010-04-27;3.55
10 years;2010-04-28;3.58
10 years;2010-04-29;3.58
10 years;2010-04-30;3.5
10 years;2010-05-03;3.51
10 years;2010-05-04;3.44
10 years;2010-05-05;3.38
10 years;2010-05-06;3.42
10 years;2010-05-07;3.56
10 years;2010-05-10;3.46
10 years;2010-05-11;3.42
10 years;2010-05-12;3.41
10 years;2010-05-17;3.33
10 years;2010-05-18;3.26
10 years;2010-05-19;3.18
10 years;2010-05-20;3.16
10 years;2010-05-21;3.11
10 years;2010-05-25;3.08
10 years;2010-05-26;3.1
10 years;2010-05-27;3.18
10 years;2010-05-28;3.17
10 years;2010-05-31;3.14
10 years;2010-06-01;3.19
10 years;2010-06-02;3.25
10 years;2010-06-03;3.41
10 years;2010-06-04;3.53
10 years;2010-06-07;3.57
10 years;2010-06-08;3.56
10 years;2010-06-09;3.52
10 years;2010-06-10;3.46
10 years;2010-06-11;3.34
10 years;2010-06-14;3.46
10 years;2010-06-15;3.45
10 years;2010-06-16;3.46
10 years;2010-06-17;3.49
10 years;2010-06-18;3.49
10 years;2010-06-21;3.42
10 years;2010-06-22;3.49
10 years;2010-06-23;3.51
10 years;2010-06-24;3.49
10 years;2010-06-25;3.56
10 years;2010-06-28;3.5
10 years;2010-06-29;3.45
10 years;2010-06-30;3.42
10 years;2010-07-01;3.42
10 years;2010-07-02;3.33
10 years;2010-07-05;3.23
10 years;2010-07-06;3.27
10 years;2010-07-07;3.27
10 years;2010-07-08;3.28
10 years;2010-07-09;3.24
10 years;2010-07-12;3.21
10 years;2010-07-13;3.2
10 years;2010-07-14;3.24
10 years;2010-07-15;3.28
10 years;2010-07-16;3.3
10 years;2010-07-19;3.31
10 years;2010-07-20;3.3
10 years;2010-07-22;3.35
10 years;2010-07-23;3.35
10 years;2010-07-26;3.36
10 years;2010-07-27;3.34
10 years;2010-07-28;3.31
10 years;2010-07-29;3.33
10 years;2010-07-30;3.3
10 years;2010-08-02;3.31
10 years;2010-08-03;3.26
10 years;2010-08-04;3.22
10 years;2010-08-05;3.18
10 years;2010-08-06;3.1
10 years;2010-08-09;3.07
10 years;2010-08-10;3.12
10 years;2010-08-11;3.07
10 years;2010-08-12;3.01
10 years;2011-04-29;4.24
10 years;2011-05-02;4.23
10 years;2011-05-03;4.23
10 years;2011-05-04;4.25
10 years;2011-05-05;4.26
10 years;2011-05-06;4.2
10 years;2011-05-09;4.19
10 years;2011-05-10;4.19
10 years;2011-05-11;4.23
10 years;2011-05-12;4.18
10 years;2011-05-13;4.18
10 years;2011-05-16;4.16
10 years;2011-05-17;4.17
10 years;2011-05-18;4.19
10 years;2011-05-19;4.23
10 years;2011-05-20;4.22
10 years;2011-05-23;4.22
10 years;2011-05-24;4.2
10 years;2011-05-25;4.17
10 years;2011-05-26;4.13
10 years;2011-05-27;4.15
10 years;2011-05-30;4.18
10 years;2011-05-31;4.17
10 years;2011-06-01;4.13
10 years;2011-06-06;4.08
10 years;2011-06-07;4.12
10 years;2011-06-08;4.17
10 years;2011-06-09;4.16
10 years;2011-06-10;4.13
10 years;2011-06-14;4.14
10 years;2011-06-15;4.16
10 years;2011-06-16;4.17
10 years;2011-06-17;4.13
10 years;2011-06-20;4.14
10 years;2011-06-21;4.13
10 years;2011-06-22;4.13
10 years;2011-06-23;4.13
10 years;2011-06-24;4.15
10 years;2011-06-27;4.18
10 years;2011-06-28;4.14
10 years;2011-06-29;4.11
10 years;2011-06-30;4.12
10 years;2011-07-01;4.08
10 years;2011-07-04;4.08
10 years;2011-07-05;4.1
10 years;2011-07-06;4.11
10 years;2011-07-07;4.14
10 years;2011-07-08;4.13
10 years;2011-07-11;4.22
10 years;2011-07-12;4.28
10 years;2011-07-13;4.2
10 years;2011-07-14;4.32
10 years;2011-07-15;4.31
10 years;2011-07-18;4.39
10 years;2011-07-19;4.4
10 years;2011-07-20;4.29
10 years;2011-07-22;4.27
