"DATE","TIME PERIOD","Rate for the overnight maturity calculated as the euro short-term rate plus a spread of 8.5 basis points (EON.D.EONIA_TO.RATE)"
"1999-01-04","04 Jan 1999","3.200"
"1999-01-05","05 Jan 1999","3.200"
"1999-01-06","06 Jan 1999","3.210"
"1999-01-07","07 Jan 1999","3.210"
"1999-01-08","08 Jan 1999","3.210"
"1999-01-11","11 Jan 1999","3.200"
"1999-01-12","12 Jan 1999","3.190"
"1999-01-13","13 Jan 1999","3.180"
"1999-01-14","14 Jan 1999","3.160"
"1999-01-15","15 Jan 1999","3.100"
"1999-01-18","18 Jan 1999","3.020"
"1999-01-19","19 Jan 1999","2.980"
"1999-01-20","20 Jan 1999","3.010"
"1999-01-21","21 Jan 1999","3.030"
"1999-01-22","22 Jan 1999","3.070"
"1999-01-25","25 Jan 1999","3.140"
"1999-01-26","26 Jan 1999","3.220"
"1999-01-27","27 Jan 1999","3.130"
"1999-01-28","28 Jan 1999","3.120"
"1999-01-29","29 Jan 1999","3.160"
"1999-02-01","01 Feb 1999","3.170"
"1999-02-02","02 Feb 1999","3.180"
"1999-02-03","03 Feb 1999","3.180"
"1999-02-04","04 Feb 1999","3.170"
"1999-02-05","05 Feb 1999","3.150"
"1999-02-08","08 Feb 1999","3.150"
"1999-02-09","09 Feb 1999","3.130"
"1999-02-10","10 Feb 1999","3.120"
"1999-02-11","11 Feb 1999","3.100"
"1999-02-12","12 Feb 1999","3.080"
"1999-02-15","15 Feb 1999","3.060"
"1999-02-16","16 Feb 1999","3.040"
"1999-02-17","17 Feb 1999","3.030"
"1999-02-18","18 Feb 1999","3.020"
"1999-02-19","19 Feb 1999","3.030"
"1999-02-22","22 Feb 1999","3.050"
"1999-02-23","23 Feb 1999","3.340"
"1999-02-24","24 Feb 1999","3.130"
"1999-02-25","25 Feb 1999","3.110"
"1999-02-26","26 Feb 1999","3.120"
"1999-03-01","01 Mar 1999","3.120"
"1999-03-02","02 Mar 1999","3.110"
"1999-03-03","03 Mar 1999","3.080"
"1999-03-04","04 Mar 1999","3.060"
"1999-03-05","05 Mar 1999","3.040"
"1999-03-08","08 Mar 1999","3.030"
"1999-03-09","09 Mar 1999","3.030"
"1999-03-10","10 Mar 1999","3.020"
"1999-03-11","11 Mar 1999","2.990"
"1999-03-12","12 Mar 1999","2.920"
"1999-03-15","15 Mar 1999","2.900"
"1999-03-16","16 Mar 1999","2.900"
"1999-03-17","17 Mar 1999","2.980"
"1999-03-18","18 Mar 1999","2.950"
"1999-03-19","19 Mar 1999","2.650"
"1999-03-22","22 Mar 1999","2.190"
"1999-03-23","23 Mar 1999","2.390"
"1999-03-24","24 Mar 1999","2.980"
"1999-03-25","25 Mar 1999","2.990"
"1999-03-26","26 Mar 1999","2.990"
"1999-03-29","29 Mar 1999","2.990"
"1999-03-30","30 Mar 1999","2.980"
"1999-03-31","31 Mar 1999","2.990"
"1999-04-01","01 Apr 1999","2.980"
"1999-04-02","02 Apr 1999","2.960"
"1999-04-05","05 Apr 1999","2.970"
"1999-04-06","06 Apr 1999","2.980"
"1999-04-07","07 Apr 1999","3.080"
"1999-04-08","08 Apr 1999","3.110"
"1999-04-09","09 Apr 1999","2.810"
"1999-04-12","12 Apr 1999","2.770"
"1999-04-13","13 Apr 1999","2.730"
"1999-04-14","14 Apr 1999","2.600"
"1999-04-15","15 Apr 1999","2.580"
"1999-04-16","16 Apr 1999","2.550"
"1999-04-19","19 Apr 1999","2.510"
"1999-04-20","20 Apr 1999","2.470"
"1999-04-21","21 Apr 1999","2.470"
"1999-04-22","22 Apr 1999","2.470"
"1999-04-23","23 Apr 1999","2.930"
"1999-04-26","26 Apr 1999","2.530"
"1999-04-27","27 Apr 1999","2.530"
"1999-04-28","28 Apr 1999","2.520"
"1999-04-29","29 Apr 1999","2.520"
