Date,France_10y,Germany_10y,Belgium_10y,Italy_10y,Spain_10y,Portugal_10y,Ireland_10y,Greece_10y
2014-12-29,,0.57,0.93,1.99915,,,,
2014-12-29,,0.57,0.88,1.99915,,,,
2014-12-30,0.858,0.56,0.91,1.91757,,,,
2014-12-30,0.858,0.56,0.85,1.91757,,,,
2014-12-31,0.858,0.56,0.91,1.79528,,,,
2014-12-31,0.858,0.56,0.82,1.79528,,,,
2015-01-01,0.834,0.56,0.82,1.79528,,,,
2015-01-02,0.834,0.54,0.88,1.79528,1.54,2.444,1.168,9.256
2015-01-02,0.834,0.54,0.81,1.79528,1.54,2.444,1.168,9.256
2015-01-03,0.801,0.54,0.81,1.78326,1.54,2.454,1.173,9.284
2015-01-04,0.801,0.54,0.81,1.78326,1.54,2.454,1.173,9.284
2015-01-05,0.801,0.51,0.84,1.78326,1.541,2.543,1.217,9.532
2015-01-05,0.801,0.51,0.78,1.78326,1.541,2.543,1.217,9.532
2015-01-06,0.776,0.49,0.8,1.81002,1.582,2.567,1.195,9.809
2015-01-06,0.776,0.49,0.77,1.81002,1.582,2.567,1.195,9.809
2015-01-07,0.751,0.46,0.71,1.88757,1.628,2.723,1.247,10.656
2015-01-07,0.751,0.46,0.92,1.88757,1.628,2.723,1.247,10.656
2015-01-07,0.751,0.46,0.8,1.88757,1.628,2.723,1.247,10.656
2015-01-08,0.798,0.49,0.95,1.8885,1.695,2.606,1.4,10.194
2015-01-08,0.798,0.49,0.83,1.8885,1.695,2.606,1.4,10.194
2015-01-08,0.798,0.49,0.77,1.8885,1.695,2.606,1.4,10.194
2015-01-09,0.805,0.5,0.93,1.8492,1.701,2.661,1.39,10.258
2015-01-09,0.805,0.5,0.83,1.8492,1.701,2.661,1.39,10.258
2015-01-09,0.805,0.5,0.75,1.8492,1.701,2.661,1.39,10.258
2015-01-10,0.796,0.5,0.75,1.84687,1.701,2.667,1.397,10.283
2015-01-11,0.796,0.5,0.75,1.84687,1.701,2.667,1.397,10.283
2015-01-12,0.796,0.5,0.9,1.84687,1.674,2.603,1.375,9.537
2015-01-12,0.796,0.5,0.79,1.84687,1.674,2.603,1.375,9.537
2015-01-12,0.796,0.5,0.74,1.84687,1.674,2.603,1.375,9.537
2015-01-13,0.732,0.46,0.87,1.77748,1.599,2.652,1.359,9.2
2015-01-13,0.732,0.46,0.76,1.77748,1.599,2.652,1.359,9.2
2015-01-13,0.732,0.46,0.81,1.77748,1.599,2.652,1.359,9.2
2015-01-14,0.722,0.52,0.8,1.73818,1.607,2.658,1.321,8.941
2015-01-14,0.722,0.52,0.79,1.73818,1.607,2.658,1.321,8.941
2015-01-14,0.722,0.52,0.7,1.73818,1.607,2.658,1.321,8.941
2015-01-15,0.694,0.49,0.79,1.7251,1.565,2.636,1.314,9.13
2015-01-15,0.694,0.49,0.71,1.7251,1.565,2.636,1.314,9.13
2015-01-15,0.694,0.49,0.76,1.7251,1.565,2.636,1.314,9.13
2015-01-16,0.639,0.45,0.75,1.66819,1.509,2.532,1.239,9.466
2015-01-16,0.639,0.45,0.66,1.66819,1.509,2.532,1.239,9.466
2015-01-16,0.639,0.45,0.72,1.66819,1.509,2.532,1.239,9.466
2015-01-17,0.641,0.45,0.72,1.65518,1.509,2.532,1.231,9.48
2015-01-18,0.641,0.45,0.72,1.65518,1.509,2.532,1.231,9.48
2015-01-19,0.641,0.44,0.76,1.65518,1.493,2.485,1.222,9.451
2015-01-19,0.641,0.44,0.67,1.65518,1.493,2.485,1.222,9.451
2015-01-19,0.641,0.44,0.73,1.65518,1.493,2.485,1.222,9.451
2015-01-20,0.648,0.44,0.77,1.65817,1.513,2.507,1.224,9.616
2015-01-20,0.648,0.44,0.68,1.65817,1.513,2.507,1.224,9.616
2015-01-20,0.648,0.44,0.73,1.65817,1.513,2.507,1.224,9.616
2015-01-21,0.692,0.49,0.81,1.69495,1.527,2.535,1.257,9.482
2015-01-21,0.692,0.49,0.73,1.69495,1.527,2.535,1.257,9.482
2015-01-21,0.692,0.49,0.77,1.69495,1.527,2.535,1.257,9.482
