Title:;Constant maturity rate 10 years
Series key:;FM.D.FR.EUR.FR2.BB.FRMOYTEC10.HSTA
Unit:;Percent (PC)
Multiplier:;Units (0)
Collection:;End of period (E)
Source:;Bank of France, MTS France (MTS)
2025-10-24;3.42
2025-10-23;3.36
2025-10-22;3.33
2025-10-21;3.34
2025-10-20;3.38
2025-10-19;-
2025-10-18;-
2025-10-17;3.31
2025-10-16;3.34
2025-10-15;3.36
2025-10-14;3.42
2025-10-13;3.46
2025-10-12;-
2025-10-11;-
2025-10-10;3.49
2025-10-09;3.49
2025-10-08;3.51
2025-10-07;3.58
2025-10-06;3.57
2025-10-05;-
2025-10-04;-
2025-10-03;3.51
2025-10-02;3.51
2025-10-01;3.55
2025-09-30;3.51
2025-09-29;3.53
2025-09-28;-
2025-09-27;-
2025-09-26;3.57
2025-09-25;3.55
2025-09-24;3.53
2025-09-23;3.54
2025-09-22;3.54
2025-09-21;-
2025-09-20;-
2025-09-19;3.52
2025-09-18;3.47
2025-09-17;3.45
2025-09-16;3.45
2025-09-15;3.46
2025-09-14;-
2025-09-13;-
2025-09-12;3.44
2025-09-11;3.43
2025-09-10;3.45
2025-09-09;3.46
2025-09-08;3.49
2025-09-07;-
2025-09-06;-
2025-09-05;3.52
2025-09-04;3.54
2025-09-03;3.62
2025-09-02;3.62
2025-09-01;3.57
2025-08-31;-
2025-08-30;-
2025-08-29;3.54
2025-08-28;3.51
2025-08-27;3.52
2025-08-26;3.54
2025-08-25;3.49
2025-08-24;-
2025-08-23;-
2025-08-22;3.48
2025-08-21;3.45
2025-08-20;3.45
2025-08-19;3.48
2025-08-18;3.45
2025-08-17;-
2025-08-16;-
2025-08-15;3.43
2025-08-14;3.34
2025-08-13;3.38
2025-08-12;3.39
2025-08-11;3.36
2025-08-10;-
2025-08-09;-
2025-08-08;3.35
2025-08-07;3.33
2025-08-06;3.33
2025-08-05;3.32
2025-08-04;3.38
2025-08-03;-
2025-08-02;-
2025-08-01;3.4
2025-07-31;3.37
2025-07-30;3.37
2025-07-29;3.39
2025-07-28;3.38
2025-07-27;-
2025-07-26;-
2025-07-25;3.45
2025-07-24;3.35
2025-07-23;3.31
2025-07-22;3.34
2025-07-21;3.37
2025-07-20;-
2025-07-19;-
2025-07-18;3.42
2025-07-17;3.42
2025-07-16;3.42
2025-07-15;3.41
2025-07-14;3.44
2025-07-13;-
2025-07-12;-
2025-07-11;3.43
2025-07-10;3.36
2025-07-09;3.37
2025-07-08;3.39
2025-07-07;3.29
2025-07-06;-
2025-07-05;-
2025-07-04;3.26
2025-07-03;3.3
2025-07-02;3.3
2025-07-01;3.24
2025-06-30;3.27
2025-06-29;-
2025-06-28;-
2025-06-27;3.27
2025-06-26;3.25
2025-06-25;3.23
2025-06-24;3.25
2025-06-23;3.28
2025-06-22;-
2025-06-21;-
2025-06-20;3.27
2025-06-19;3.26
2025-06-18;3.26
2025-06-17;3.26
2025-06-16;3.28
2025-06-15;-
2025-06-14;-
2025-06-13;3.2
2025-06-12;3.21
2025-06-11;3.24
2025-06-10;3.23
2025-06-09;3.2
2025-06-08;-
2025-06-07;-
2025-06-06;3.22
2025-06-05;3.18
2025-06-04;3.2
2025-06-03;3.17
2025-06-02;3.22
2025-06-01;-
2025-05-31;-
2025-05-30;3.2
2025-05-29;3.25
2025-05-28;3.23
2025-05-27;3.2
2025-05-26;3.28
2025-05-25;-
2025-05-24;-
2025-05-23;3.3
2025-05-22;3.31
2025-05-21;3.32
2025-05-20;3.23
2025-05-19;3.31
2025-05-18;-
2025-05-17;-
2025-05-16;3.24
2025-05-15;3.35
2025-05-14;3.34
2025-05-13;3.34
2025-05-12;3.3
2025-05-11;-
2025-05-10;-
2025-05-09;3.27
2025-05-08;3.2
2025-05-07;3.22
2025-05-06;3.24
2025-05-05;3.2
2025-05-04;-
2025-05-03;-
2025-05-02;3.16
2025-05-01;-
2025-04-30;3.16
2025-04-29;3.18
2025-04-28;3.2
2025-04-27;-
2025-04-26;-
2025-04-25;3.15
2025-04-24;3.17
2025-04-23;3.2
2025-04-22;3.19
2025-04-21;-
2025-04-20;-
2025-04-19;-
2025-04-18;-
2025-04-17;3.27
2025-04-16;3.23
2025-04-15;3.23
2025-04-14;3.29
2025-04-13;-
2025-04-12;-
2025-04-11;3.34
2025-04-10;3.37
2025-04-09;3.36
2025-04-08;3.35
2025-04-07;3.24
2025-04-06;-
2025-04-05;-
2025-04-04;3.27
2025-04-03;3.35
2025-04-02;3.37
2025-04-01;3.35
2025-03-31;3.38
2025-03-30;-
2025-03-29;-
2025-03-28;3.39
2025-03-27;3.45
2025-03-26;3.45
2025-03-25;3.46
2025-03-24;3.43
2025-03-23;-
2025-03-22;-
2025-03-21;3.42
2025-03-20;3.43
2025-03-19;3.43
2025-03-18;3.48
2025-03-17;3.47
2025-03-16;-
2025-03-15;-
2025-03-14;3.54
2025-03-13;3.56
2025-03-12;3.56
2025-03-11;3.54
2025-03-10;3.49
2025-03-09;-
2025-03-08;-
2025-03-07;3.51
2025-03-06;3.53
2025-03-05;3.32
2025-03-04;3.15
2025-03-03;3.14
2025-03-02;-
2025-03-01;-
2025-02-28;3.08
2025-02-27;3.13
2025-02-26;3.12
2025-02-25;3.16
2025-02-24;3.18
2025-02-23;-
2025-02-22;-
2025-02-21;3.21
2025-02-20;3.23
2025-02-19;3.2
2025-02-18;3.19
2025-02-17;3.18
2025-02-16;-
2025-02-15;-
2025-02-14;3.12
2025-02-13;3.17
2025-02-12;3.17
2025-02-11;3.13
2025-02-10;3.09
2025-02-09;-
2025-02-08;-
2025-02-07;3.08
2025-02-06;3.12
2025-02-05;3.07
2025-02-04;3.14
2025-02-03;3.16
2025-02-02;-
2025-02-01;-
2025-01-31;3.23
2025-01-30;3.28
2025-01-29;3.27
2025-01-28;3.29
2025-01-27;3.27
2025-01-26;-
2025-01-25;-
2025-01-24;3.31
2025-01-23;3.29
2025-01-22;3.26
2025-01-21;3.29
2025-01-20;3.31
2025-01-19;-
2025-01-18;-
2025-01-17;3.31
2025-01-16;3.36
2025-01-15;3.44
2025-01-14;3.45
2025-01-13;3.47
2025-01-12;-
2025-01-11;-
2025-01-10;3.41
2025-01-09;3.4
2025-01-08;3.3
2025-01-07;3.29
2025-01-06;3.28
2025-01-05;-
2025-01-04;-
2025-01-03;3.25
2025-01-02;3.2
2025-01-01;-
2024-12-31;3.21
2024-12-30;3.21
2024-12-29;-
2024-12-28;-
2024-12-27;3.12
2024-12-26;3.12
2024-12-25;-
2024-12-24;3.12
2024-12-23;3.12
2024-12-22;-
2024-12-21;-
2024-12-20;3.11
2024-12-19;3.1
2024-12-18;3.05
2024-12-17;3.04
2024-12-16;3.04
2024-12-15;-
2024-12-14;-
2024-12-13;3.0
2024-12-12;2.93
2024-12-11;2.89
2024-12-10;2.86
2024-12-09;2.86
2024-12-08;-
2024-12-07;-
2024-12-06;2.85
2024-12-05;2.9
2024-12-04;2.94
2024-12-03;2.91
2024-12-02;2.9
2024-12-01;-
2024-11-30;-
2024-11-29;2.94
2024-11-28;3.0
2024-11-27;3.02
2024-11-26;3.02
2024-11-25;3.07
2024-11-24;-
2024-11-23;-
2024-11-22;3.04
2024-11-21;3.1
2024-11-20;3.09
2024-11-19;3.04
2024-11-18;3.12
2024-11-17;-
2024-11-16;-
2024-11-15;3.06
2024-11-14;3.14
2024-11-13;3.14
2024-11-12;3.07
2024-11-11;3.06
2024-11-10;-
2024-11-09;-
2024-11-08;3.15
2024-11-07;3.26
2024-11-06;3.12
2024-11-05;3.16
2024-11-04;3.16
2024-11-03;-
2024-11-02;-
2024-11-01;3.16
2024-10-31;3.14
2024-10-30;3.06
2024-10-29;3.05
2024-10-28;3.03
2024-10-27;-
2024-10-26;-
2024-10-25;3.0
2024-10-24;3.0
2024-10-23;3.04
2024-10-22;3.05
2024-10-21;2.94
2024-10-20;-
2024-10-19;-
2024-10-18;2.93
2024-10-17;2.94
2024-10-16;2.92
2024-10-15;2.98
2024-10-14;3.03
2024-10-13;-
2024-10-12;-
2024-10-11;3.03
2024-10-10;3.02
2024-10-09;3.0
2024-10-08;3.02
2024-10-07;3.01
2024-10-06;-
2024-10-05;-
2024-10-04;2.94
2024-10-03;2.91
2024-10-02;2.86
2024-10-01;2.81
2024-09-30;2.96
2024-09-29;-
2024-09-28;-
2024-09-27;2.9
2024-09-26;2.94
2024-09-25;2.89
2024-09-24;2.96
2024-09-23;2.92
2024-09-22;-
2024-09-21;-
2024-09-20;2.9
2024-09-19;2.92
2024-09-18;2.87
2024-09-17;2.81
2024-09-16;2.82
2024-09-15;-
2024-09-14;-
2024-09-13;2.82
2024-09-12;2.82
2024-09-11;2.8
2024-09-10;2.88
2024-09-09;2.93
2024-09-08;-
2024-09-07;-
2024-09-06;2.85
2024-09-05;2.93
2024-09-04;2.95
2024-09-03;3.02
2024-09-02;3.03
2024-09-01;-
2024-08-31;-
2024-08-30;2.96
2024-08-29;2.93
2024-08-28;2.97
2024-08-27;2.96
2024-08-26;2.92
2024-08-25;-
2024-08-24;-
2024-08-23;2.94
2024-08-22;2.91
2024-08-21;2.91
2024-08-20;2.94
2024-08-19;2.92
2024-08-18;-
2024-08-17;-
2024-08-16;2.94
2024-08-15;2.89
2024-08-14;2.9
2024-08-13;2.94
2024-08-12;2.95
2024-08-11;-
2024-08-10;-
2024-08-09;2.95
2024-08-08;2.96
2024-08-07;2.99
2024-08-06;2.94
2024-08-05;2.9
2024-08-04;-
2024-08-03;-
2024-08-02;2.96
2024-08-01;2.99
2024-07-31;3.01
2024-07-30;3.05
2024-07-29;3.05
2024-07-28;-
2024-07-27;-
2024-07-26;3.12
2024-07-25;3.09
2024-07-24;3.1
2024-07-23;3.1
2024-07-22;3.11
2024-07-21;-
