;BBSSY.D.REN.EUR.A630.000000WT1010.A;BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS
;;
Comment;ISIN DE000BU2Z056 seit dem 02. Juli 2025;
Decimals;2;
Time format code;P1D;
category;ZRWR;
unit;PROZENT;
unit multiplier;One;
last update;2025-10-24 12:11:56;
2014-12-29;0.57;
2014-12-30;0.56;
2014-12-31;.;"Missing value; holiday or weekend"
2015-01-01;.;"Missing value; holiday or weekend"
2015-01-02;0.54;
2015-01-03;.;No value available
2015-01-04;.;No value available
2015-01-05;0.51;
2015-01-06;0.49;
2015-01-07;0.46;
2015-01-08;0.49;
2015-01-09;0.50;
2015-01-10;.;No value available
2015-01-11;.;No value available
2015-01-12;0.50;
2015-01-13;0.46;
2015-01-14;0.52;
2015-01-15;0.49;
2015-01-16;0.45;
2015-01-17;.;No value available
2015-01-18;.;No value available
2015-01-19;0.44;
2015-01-20;0.44;
2015-01-21;0.49;
2015-01-22;0.55;
2015-01-23;0.39;
2015-01-24;.;No value available
2015-01-25;.;No value available
2015-01-26;0.36;
2015-01-27;0.39;
2015-01-28;0.38;
2015-01-29;0.35;
2015-01-30;0.35;
2015-01-31;.;No value available
2015-02-01;.;No value available
2015-02-02;0.30;
2015-02-03;0.33;
2015-02-04;0.34;
2015-02-05;0.35;
2015-02-06;0.35;
2015-02-07;.;No value available
2015-02-08;.;No value available
2015-02-09;0.33;
2015-02-10;0.36;
2015-02-11;0.36;
2015-02-12;0.36;
2015-02-13;0.35;
2015-02-14;.;No value available
2015-02-15;.;No value available
2015-02-16;0.35;
2015-02-17;0.34;
2015-02-18;0.37;
2015-02-19;0.37;
2015-02-20;0.38;
2015-02-21;.;No value available
2015-02-22;.;No value available
2015-02-23;0.39;
2015-02-24;0.38;
2015-02-25;0.34;
2015-02-26;0.29;
2015-02-27;0.33;
2015-02-28;.;No value available
2015-03-01;.;No value available
2015-03-02;0.33;
2015-03-03;0.35;
2015-03-04;0.37;
2015-03-05;0.39;
2015-03-06;0.35;
2015-03-07;.;No value available
2015-03-08;.;No value available
2015-03-09;0.35;
2015-03-10;0.29;
2015-03-11;0.23;
2015-03-12;0.20;
2015-03-13;0.27;
2015-03-14;.;No value available
2015-03-15;.;No value available
2015-03-16;0.28;
2015-03-17;0.27;
2015-03-18;0.26;
2015-03-19;0.18;
2015-03-20;0.19;
2015-03-21;.;No value available
2015-03-22;.;No value available
2015-03-23;0.17;
2015-03-24;0.21;
2015-03-25;0.22;
2015-03-26;0.21;
2015-03-27;0.23;
2015-03-28;.;No value available
2015-03-29;.;No value available
2015-03-30;0.19;
2015-03-31;0.21;
2015-04-01;0.18;
2015-04-02;0.17;
2015-04-03;.;No value available
2015-04-04;.;No value available
2015-04-05;.;No value available
2015-04-06;.;No value available
2015-04-07;0.19;
2015-04-08;0.17;
2015-04-09;0.16;
2015-04-10;0.16;
2015-04-11;.;No value available
2015-04-12;.;No value available
2015-04-13;0.16;
2015-04-14;0.14;
2015-04-15;0.13;
2015-04-16;0.08;
2015-04-17;0.07;
2015-04-18;.;No value available
2015-04-19;.;No value available
2015-04-20;0.07;
2015-04-21;0.07;
2015-04-22;0.09;
2015-04-23;0.15;
2015-04-24;0.18;
2015-04-25;.;No value available
2015-04-26;.;No value available
2015-04-27;0.14;
2015-04-28;0.15;
2015-04-29;0.22;
2015-04-30;0.33;
2015-05-01;.;No value available
2015-05-02;.;No value available
2015-05-03;.;No value available
2015-05-04;0.40;
2015-05-05;0.42;
2015-05-06;0.53;
2015-05-07;0.76;
2015-05-08;0.58;
2015-05-09;.;No value available
2015-05-10;.;No value available
2015-05-11;0.59;
2015-05-12;0.69;
2015-05-13;0.65;
