"Date","Price","Open","High","Low","Change %"
"10/31/2025","3.288","3.330","3.330","3.279","0.00%"
"10/30/2025","3.288","3.312","3.317","3.285","0.40%"
"10/29/2025","3.275","3.289","3.301","3.269","-0.58%"
"10/28/2025","3.294","3.296","3.303","3.284","0.15%"
"10/27/2025","3.289","3.334","3.334","3.283","-0.21%"
"10/24/2025","3.296","3.284","3.310","3.240","1.54%"
"10/23/2025","3.246","3.262","3.262","3.229","0.65%"
"10/22/2025","3.225","3.257","3.257","3.202","0.22%"
"10/21/2025","3.218","3.244","3.259","3.214","-0.92%"
"10/20/2025","3.248","3.291","3.291","3.240","0.06%"
"10/17/2025","3.246","3.212","3.257","3.212","0.28%"
"10/16/2025","3.237","3.251","3.270","3.225","-0.09%"
"10/15/2025","3.240","3.295","3.295","3.237","-1.52%"
"10/14/2025","3.290","3.368","3.368","3.287","-1.38%"
"10/13/2025","3.336","3.380","3.382","3.331","-0.98%"
"10/10/2025","3.369","3.432","3.432","3.357","-0.62%"
"10/09/2025","3.390","3.399","3.399","3.355","0.47%"
"10/08/2025","3.374","3.416","3.420","3.346","-1.29%"
"10/07/2025","3.418","3.450","3.451","3.411","0.26%"
"10/06/2025","3.409","3.389","3.440","3.389","0.80%"
"10/03/2025","3.382","3.430","3.430","3.375","-0.82%"
"10/02/2025","3.410","3.434","3.434","3.378","0.86%"
"10/01/2025","3.381","3.440","3.452","3.375","-0.76%"
"09/30/2025","3.407","3.411","3.438","3.385","-0.12%"
"09/29/2025","3.411","3.489","3.489","3.405","-1.13%"
"09/26/2025","3.450","3.487","3.513","3.434","-1.48%"
"09/25/2025","3.502","3.447","3.511","3.441","1.21%"
"09/24/2025","3.460","3.433","3.467","3.418","0.93%"
"09/23/2025","3.428","3.432","3.444","3.412","0.20%"
"09/22/2025","3.421","3.422","3.452","3.407","0.21%"
"09/19/2025","3.414","3.409","3.443","3.405","0.35%"
"09/18/2025","3.402","3.356","3.414","3.347","0.95%"
"09/17/2025","3.370","3.373","3.388","3.346","-0.12%"
"09/16/2025","3.374","3.364","3.399","3.352","0.06%"
"09/15/2025","3.372","3.400","3.423","3.362","-0.79%"
"09/12/2025","3.399","3.337","3.411","3.337","1.52%"
"09/11/2025","3.348","3.345","3.376","3.318","0.18%"
"09/10/2025","3.342","3.349","3.370","3.335","-0.03%"
"09/09/2025","3.343","3.372","3.374","3.339","0.30%"
"09/08/2025","3.333","3.371","3.397","3.331","-0.89%"
"09/05/2025","3.363","3.425","3.446","3.355","-2.10%"
"09/04/2025","3.435","3.467","3.485","3.416","-1.32%"
"09/03/2025","3.481","3.523","3.539","3.472","-1.14%"
"09/02/2025","3.521","3.463","3.541","3.463","1.91%"
"09/01/2025","3.455","3.443","3.490","3.441","0.64%"
"08/29/2025","3.433","3.399","3.445","3.399","0.82%"
"08/28/2025","3.405","3.434","3.441","3.384","-1.02%"
"08/27/2025","3.440","3.425","3.459","3.401","0.06%"
"08/26/2025","3.438","3.464","3.493","3.433","-0.61%"
"08/25/2025","3.459","3.392","3.478","3.392","0.85%"
"08/22/2025","3.430","3.452","3.487","3.422","-0.52%"
"08/21/2025","3.448","3.405","3.463","3.399","1.35%"
"08/20/2025","3.402","3.431","3.450","3.393","-1.05%"
"08/19/2025","3.438","3.433","3.468","3.419","-0.20%"
"08/18/2025","3.445","3.455","3.482","3.400","-0.49%"
"08/15/2025","3.462","3.381","3.467","3.374","3.13%"
"08/14/2025","3.357","3.334","3.372","3.306","0.51%"
"08/13/2025","3.340","3.409","3.417","3.340","-2.08%"
"08/12/2025","3.411","3.370","3.427","3.355","1.04%"
"08/11/2025","3.376","3.357","3.378","3.324","0.27%"
"08/08/2025","3.367","3.266","3.375","3.265","1.57%"
"08/07/2025","3.315","3.329","3.355","3.303","-0.03%"
"08/06/2025","3.316","3.299","3.343","3.299","0.36%"
"08/05/2025","3.304","3.302","3.335","3.287","-0.93%"
"08/04/2025","3.335","3.380","3.417","3.321","-0.57%"
"08/01/2025","3.354","3.377","3.444","3.354","-1.24%"
"07/31/2025","3.396","3.395","3.407","3.371","-0.29%"
"07/30/2025","3.406","3.391","3.417","3.364","0.38%"
"07/29/2025","3.393","3.408","3.413","3.361","0.41%"
"07/28/2025","3.379","3.420","3.452","3.372","-1.92%"
"07/25/2025","3.445","3.412","3.492","3.412","1.26%"
"07/24/2025","3.402","3.372","3.419","3.349","2.93%"
"07/23/2025","3.305","3.297","3.338","3.297","-0.12%"
"07/22/2025","3.309","3.315","3.355","3.300","-0.36%"
"07/21/2025","3.321","3.408","3.428","3.320","-2.44%"
"07/18/2025","3.404","3.390","3.432","3.390","0.38%"
"07/17/2025","3.391","3.396","3.439","3.388","-0.12%"
"07/16/2025","3.395","3.424","3.454","3.389","0.12%"
"07/15/2025","3.391","3.448","3.448","3.374","-1.45%"
"07/14/2025","3.441","3.421","3.457","3.414","0.58%"
"07/11/2025","3.421","3.420","3.447","3.397","0.44%"
"07/10/2025","3.406","3.386","3.418","3.347","0.80%"
"07/09/2025","3.379","3.398","3.398","3.362","-0.21%"
"07/08/2025","3.386","3.361","3.418","3.331","0.80%"
"07/07/2025","3.359","3.314","3.368","3.299","2.41%"
"07/04/2025","3.280","3.309","3.309","3.280","-0.91%"
"07/03/2025","3.310","3.357","3.367","3.316","-1.49%"
"07/02/2025","3.360","3.296","3.388","3.296","2.75%"
