"Date","Price","Open","High","Low","Change %"
"10/31/2025","2.872","2.895","2.900","2.870","-0.62%"
"10/30/2025","2.890","2.881","2.905","2.871","0.69%"
"10/29/2025","2.870","2.866","2.876","2.857","-0.10%"
"10/28/2025","2.873","2.862","2.887","2.849","0.16%"
"10/27/2025","2.868","2.888","2.888","2.860","-0.43%"
"10/24/2025","2.881","2.826","2.884","2.814","1.67%"
"10/23/2025","2.833","2.820","2.834","2.812","0.76%"
"10/22/2025","2.812","2.793","2.825","2.782","0.15%"
"10/21/2025","2.808","2.810","2.824","2.794","-0.77%"
"10/20/2025","2.829","2.828","2.844","2.818","-0.22%"
"10/17/2025","2.835","2.771","2.836","2.760","1.63%"
"10/16/2025","2.790","2.816","2.816","2.790","-0.81%"
"10/15/2025","2.813","2.825","2.833","2.786","-1.22%"
"10/14/2025","2.847","2.856","2.856","2.834","-1.37%"
"10/13/2025","2.887","2.891","2.905","2.872","-0.53%"
"10/10/2025","2.902","2.928","2.936","2.885","-1.79%"
"10/09/2025","2.955","2.941","2.957","2.933","0.53%"
"10/08/2025","2.940","2.961","2.962","2.921","-1.34%"
"10/07/2025","2.980","2.995","3.011","2.972","-0.59%"
"10/06/2025","2.997","2.978","2.999","2.963","1.32%"
"10/03/2025","2.958","2.962","2.966","2.947","0.10%"
"10/02/2025","2.955","2.963","2.986","2.948","-0.60%"
"10/01/2025","2.973","2.988","2.994","2.940","0.44%"
"09/30/2025","2.960","2.941","2.973","2.939","-0.04%"
"09/29/2025","2.961","2.977","2.981","2.954","-1.57%"
"09/26/2025","3.009","3.011","3.026","2.973","-0.71%"
"09/25/2025","3.030","2.996","3.032","2.973","0.98%"
"09/24/2025","3.000","2.973","3.002","2.965","0.20%"
"09/23/2025","2.994","2.969","2.997","2.966","0.03%"
"09/22/2025","2.993","2.990","2.998","2.965","-0.07%"
"09/19/2025","2.996","2.977","2.997","2.967","0.89%"
"09/18/2025","2.969","2.909","2.976","2.907","1.63%"
"09/17/2025","2.922","2.921","2.929","2.902","-0.63%"
"09/16/2025","2.940","2.925","2.947","2.910","0.07%"
"09/15/2025","2.938","2.946","2.946","2.917","-0.84%"
"09/12/2025","2.963","2.906","2.967","2.902","2.73%"
"09/11/2025","2.884","2.892","2.925","2.867","-0.35%"
"09/10/2025","2.894","2.889","2.902","2.871","-0.24%"
"09/09/2025","2.901","2.891","2.905","2.883","0.85%"
"09/08/2025","2.877","2.907","2.907","2.869","-1.39%"
"09/05/2025","2.918","2.946","2.957","2.896","-2.02%"
"09/04/2025","2.978","2.981","2.987","2.947","-0.82%"
"09/03/2025","3.002","3.037","3.055","2.988","-1.58%"
"09/02/2025","3.050","3.021","3.057","3.021","1.43%"
"09/01/2025","3.007","2.995","3.009","2.976","1.04%"
"08/29/2025","2.976","2.950","2.978","2.949","0.71%"
"08/28/2025","2.955","2.960","2.979","2.944","-0.82%"
"08/27/2025","2.980","2.990","2.995","2.954","-0.42%"
"08/26/2025","2.992","2.992","3.013","2.979","-0.80%"
"08/25/2025","3.016","2.986","3.033","2.986","0.45%"
"08/22/2025","3.003","2.995","3.007","2.957","-0.50%"
"08/21/2025","3.018","2.952","3.022","2.952","1.66%"
"08/20/2025","2.969","2.980","2.986","2.952","-1.05%"
"08/19/2025","3.000","3.012","3.021","2.985","-0.52%"
"08/18/2025","3.016","3.026","3.026","2.983","-0.61%"
"08/15/2025","3.034","2.956","3.037","2.954","2.57%"
"08/14/2025","2.958","2.909","2.960","2.894","1.29%"
"08/13/2025","2.921","2.976","2.976","2.918","-2.62%"
"08/12/2025","2.999","2.945","3.007","2.939","1.95%"
"08/11/2025","2.942","2.926","2.947","2.908","-0.41%"
"08/08/2025","2.954","2.891","2.955","2.885","2.20%"
"08/07/2025","2.890","2.894","2.913","2.872","-0.10%"
"08/06/2025","2.893","2.871","2.909","2.864","1.23%"
"08/05/2025","2.858","2.853","2.874","2.827","-0.30%"
"08/04/2025","2.866","2.918","2.941","2.853","-1.84%"
"08/01/2025","2.920","2.953","2.976","2.876","-0.38%"
"07/31/2025","2.931","2.911","2.935","2.904","-0.03%"
