Data dell'osservazione;Rendimento lordo BTP decennale benchmark
2025-09-30;3,55726
2025-09-29;3,57364
2025-09-28;
2025-09-27;
2025-09-26;3,6125
2025-09-25;3,60148
2025-09-24;3,58419
2025-09-23;3,56279
2025-09-22;3,56038
2025-09-21;
2025-09-20;
2025-09-19;3,55949
2025-09-18;3,50881
2025-09-17;3,49675
2025-09-16;3,50799
2025-09-15;3,5147
2025-09-14;
2025-09-13;
2025-09-12;3,52128
2025-09-11;3,48638
2025-09-10;3,4957
2025-09-09;3,50835
2025-09-08;3,49728
2025-09-07;
2025-09-06;
2025-09-05;3,55277
2025-09-04;3,59907
2025-09-03;3,65981
2025-09-02;3,69634
2025-09-01;3,63351
2025-08-31;
2025-08-30;
2025-08-29;3,59259
2025-08-28;3,58445
2025-08-27;3,58782
2025-08-26;3,60455
2025-08-25;3,60322
2025-08-24;
2025-08-23;
2025-08-22;3,5869
2025-08-21;3,58675
2025-08-20;3,56413
2025-08-19;3,58861
2025-08-18;3,58104
2025-08-17;
2025-08-16;
2025-08-15;
2025-08-14;3,48048
2025-08-13;3,49119
2025-08-12;3,53181
2025-08-11;3,49917
2025-08-10;
2025-08-09;
2025-08-08;3,47639
2025-08-07;3,46167
2025-08-06;3,46676
2025-08-05;3,45544
2025-08-04;3,48586
2025-08-03;
2025-08-02;
2025-08-01;3,54243
2025-07-31;3,52768
2025-07-30;3,53564
2025-07-29;3,52676
2025-07-28;3,53958
2025-07-27;
2025-07-26;
2025-07-25;3,6264
2025-07-24;3,54258
2025-07-23;3,46723
2025-07-22;3,48118
2025-07-21;3,51617
2025-07-20;
2025-07-19;
2025-07-18;3,57638
2025-07-17;3,58047
2025-07-16;3,59233
2025-07-15;3,5716
2025-07-14;3,60677
2025-07-13;
2025-07-12;
2025-07-11;3,59343
2025-07-10;3,55287
2025-07-09;3,5452
2025-07-08;3,56412
2025-07-07;3,49176
2025-07-06;
2025-07-05;
2025-07-04;3,45545
2025-07-03;3,49585
2025-07-02;3,51692
2025-07-01;3,45268
2025-06-30;3,48084
2025-06-29;
2025-06-28;
2025-06-27;3,49056
2025-06-26;3,47093
2025-06-25;3,50317
2025-06-24;3,49501
2025-06-23;3,52802
2025-06-22;
2025-06-21;
2025-06-20;3,54227
2025-06-19;3,51695
2025-06-18;3,5177
2025-06-17;3,50845
2025-06-16;3,50765
2025-06-15;
2025-06-14;
2025-06-13;3,46557
2025-06-12;3,43544
2025-06-11;3,47194
2025-06-10;3,47741
2025-06-09;3,51288
2025-06-08;
2025-06-07;
2025-06-06;3,50926
2025-06-05;3,4999
2025-06-04;3,5227
2025-06-03;3,5079
2025-06-02;3,54985
2025-06-01;
2025-05-31;
2025-05-30;3,52252
2025-05-29;3,57511
2025-05-28;3,5619
2025-05-27;3,5577
2025-05-26;3,60624
2025-05-25;
2025-05-24;
2025-05-23;3,65371
2025-05-22;3,68212
2025-05-21;3,68369
2025-05-20;3,63667
2025-05-19;3,66429
2025-05-18;
2025-05-17;
2025-05-16;3,61505
2025-05-15;3,71054
2025-05-14;3,71139
2025-05-13;3,71228
2025-05-12;3,68697
2025-05-11;
2025-05-10;
2025-05-09;3,65139
2025-05-08;3,58213
2025-05-07;3,56842
2025-05-06;3,62715
2025-05-05;3,61537
2025-05-04;
2025-05-03;
2025-05-02;3,58897
2025-05-01;
2025-04-30;3,5754
2025-04-29;3,61274
2025-04-28;3,60012
2025-04-27;
2025-04-26;
2025-04-25;3,5759
2025-04-24;3,57493
2025-04-23;3,61899
2025-04-22;3,63497
2025-04-21;
2025-04-20;
2025-04-19;
2025-04-18;
2025-04-17;3,67447
2025-04-16;3,69312
2025-04-15;3,70166
2025-04-14;3,72207
2025-04-13;
2025-04-12;
2025-04-11;3,80054
2025-04-10;3,82514
2025-04-09;3,92452
2025-04-08;3,84773
2025-04-07;3,78137
2025-04-06;
2025-04-05;
2025-04-04;3,72795
2025-04-03;3,7665
2025-04-02;3,7871
2025-04-01;3,78487
2025-03-31;3,82989
2025-03-30;
2025-03-29;
2025-03-28;3,83841
2025-03-27;3,87358
2025-03-26;3,89319
2025-03-25;3,89983
2025-03-24;3,88175
2025-03-23;
2025-03-22;
2025-03-21;3,88092
2025-03-20;3,87838
2025-03-19;3,90284
2025-03-18;3,94448
2025-03-17;3,94535
2025-03-16;
2025-03-15;
2025-03-14;4,01978
2025-03-13;4,01406
2025-03-12;4,00823
2025-03-11;3,9885
2025-03-10;3,93449
2025-03-09;
2025-03-08;
2025-03-07;3,9316
2025-03-06;3,98849
2025-03-05;3,81057
2025-03-04;3,586
2025-03-03;3,5794
2025-03-02;
2025-03-01;
2025-02-28;3,52779
2025-02-27;3,55911
2025-02-26;3,55439
2025-02-25;3,59517
2025-02-24;3,61257
2025-02-23;
2025-02-22;
2025-02-21;3,62658
2025-02-20;3,67984
2025-02-19;3,66322
2025-02-18;3,60345
2025-02-17;3,60986
2025-02-16;
2025-02-15;
2025-02-14;3,56566
2025-02-13;3,55555
2025-02-12;3,60846
2025-02-11;3,56159
2025-02-10;3,51139
2025-02-09;
2025-02-08;
2025-02-07;3,49852
2025-02-06;3,5083
2025-02-05;3,50683
2025-02-04;3,57913
2025-02-03;3,58068
2025-02-02;
2025-02-01;
2025-01-31;3,61703
2025-01-30;3,66132
2025-01-29;3,6832
2025-01-28;3,69125
2025-01-27;3,67323
2025-01-26;
2025-01-25;
2025-01-24;3,71846
2025-01-23;3,67576
2025-01-22;3,6264
2025-01-21;3,66322
2025-01-20;3,6858
2025-01-19;
2025-01-18;
2025-01-17;3,67437
2025-01-16;3,74493
2025-01-15;3,81654
2025-01-14;3,79973
2025-01-13;3,82648
2025-01-12;
2025-01-11;
2025-01-10;3,74342
2025-01-09;3,69518
2025-01-08;3,64597
2025-01-07;3,58397
2025-01-06;3,5802
2025-01-05;
2025-01-04;
2025-01-03;3,55631
2025-01-02;3,50797
2025-01-01;
2024-12-31;
2024-12-30;3,52827
2024-12-29;
2024-12-28;
2024-12-27;3,53685
2024-12-26;
2024-12-25;
2024-12-24;
2024-12-23;
2024-12-22;
2024-12-21;
2024-12-20;3,46233
2024-12-19;3,46492
2024-12-18;3,39662
2024-12-17;3,4051
2024-12-16;3,37874
2024-12-15;
2024-12-14;
2024-12-13;3,35115
2024-12-12;3,26171
2024-12-11;3,17949
2024-12-10;3,19608
2024-12-09;3,17712
2024-12-08;
2024-12-07;
2024-12-06;3,18569
2024-12-05;3,18649
2024-12-04;3,24572
2024-12-03;3,24981
2024-12-02;3,24875
2024-12-01;
2024-11-30;
2024-11-29;3,30813
2024-11-28;3,3763
2024-11-27;3,43135
2024-11-26;3,45772
2024-11-25;3,46671
2024-11-24;
2024-11-23;
2024-11-22;3,51255
2024-11-21;3,59342
2024-11-20;3,58721
2024-11-19;3,51883
2024-11-18;3,58114
2024-11-17;
2024-11-16;
2024-11-15;3,54203
2024-11-14;3,58559
2024-11-13;3,64257
2024-11-12;3,59951
2024-11-11;3,61091
2024-11-10;
2024-11-09;
2024-11-08;3,68047
2024-11-07;3,79299
2024-11-06;3,63903
2024-11-05;3,68728
2024-11-04;3,66202
2024-11-03;
2024-11-02;
2024-11-01;3,6702
2024-10-31;3,6226
2024-10-30;3,57501
2024-10-29;3,53572
2024-10-28;3,49145
2024-10-27;
2024-10-26;
2024-10-25;3,48578
2024-10-24;3,46716
2024-10-23;3,52831
2024-10-22;3,53169
2024-10-21;3,45249
2024-10-20;
2024-10-19;
2024-10-18;3,39704
2024-10-17;3,40878
2024-10-16;3,40389
2024-10-15;3,48623
2024-10-14;3,54551
2024-10-13;
2024-10-12;
2024-10-11;3,58164
2024-10-10;3,5656
2024-10-09;3,55128
2024-10-08;3,57289
