"Date","Price","Open","High","Low","Change %"
"10/31/2025","2.998","3.019","3.022","2.998","-0.20%"
"10/30/2025","3.004","3.017","3.030","3.001","0.47%"
"10/29/2025","2.990","2.999","3.005","2.988","-0.53%"
"10/28/2025","3.006","2.997","3.006","2.989","0.33%"
"10/27/2025","2.996","3.026","3.026","2.996","-0.60%"
"10/24/2025","3.014","2.974","3.020","2.964","1.55%"
"10/23/2025","2.968","2.958","2.972","2.952","0.78%"
"10/22/2025","2.945","2.933","2.955","2.925","0.17%"
"10/21/2025","2.940","2.948","2.959","2.934","-1.04%"
"10/20/2025","2.971","2.970","2.980","2.963","0.27%"
"10/17/2025","2.963","2.929","2.970","2.925","0.61%"
"10/16/2025","2.945","2.973","2.973","2.938","0.07%"
"10/15/2025","2.943","2.970","2.983","2.943","-1.74%"
"10/14/2025","2.995","3.014","3.014","2.989","-1.19%"
"10/13/2025","3.031","3.057","3.059","3.030","-0.36%"
"10/10/2025","3.042","3.082","3.090","3.039","-2.03%"
"10/09/2025","3.105","3.080","3.106","3.074","0.91%"
"10/08/2025","3.077","3.100","3.100","3.069","-1.38%"
"10/07/2025","3.120","3.131","3.149","3.120","0.03%"
"10/06/2025","3.119","3.118","3.141","3.108","0.61%"
"10/03/2025","3.100","3.112","3.116","3.096","-0.16%"
"10/02/2025","3.105","3.119","3.133","3.101","-0.38%"
"10/01/2025","3.117","3.151","3.152","3.095","-0.10%"
"09/30/2025","3.120","3.120","3.138","3.112","-0.22%"
"09/29/2025","3.127","3.157","3.157","3.127","-1.48%"
"09/26/2025","3.174","3.191","3.203","3.155","-1.00%"
"09/25/2025","3.206","3.168","3.206","3.149","1.49%"
"09/24/2025","3.159","3.144","3.167","3.132","0.06%"
"09/23/2025","3.157","3.144","3.160","3.140","-0.16%"
"09/22/2025","3.162","3.162","3.169","3.146","-0.09%"
"09/19/2025","3.165","3.145","3.166","3.137","1.18%"
"09/18/2025","3.128","3.082","3.136","3.075","0.94%"
"09/17/2025","3.099","3.089","3.107","3.082","-0.03%"
"09/16/2025","3.100","3.096","3.117","3.083","0.13%"
"09/15/2025","3.096","3.127","3.127","3.089","-1.02%"
"09/12/2025","3.128","3.086","3.131","3.084","1.53%"
"09/11/2025","3.081","3.085","3.109","3.052","0.03%"
"09/10/2025","3.080","3.080","3.095","3.066","-0.48%"
"09/09/2025","3.095","3.082","3.100","3.068","1.04%"
"09/08/2025","3.063","3.093","3.093","3.061","-1.07%"
"09/05/2025","3.096","3.127","3.135","3.069","-1.75%"
"09/04/2025","3.151","3.176","3.177","3.135","-1.10%"
"09/03/2025","3.186","3.236","3.254","3.180","-1.70%"
"09/02/2025","3.241","3.221","3.253","3.221","1.25%"
"09/01/2025","3.201","3.203","3.214","3.181","0.47%"
"08/29/2025","3.186","3.148","3.188","3.146","1.11%"
"08/28/2025","3.151","3.140","3.172","3.126","-0.10%"
"08/27/2025","3.154","3.159","3.179","3.135","-0.16%"
"08/26/2025","3.159","3.172","3.195","3.156","-0.97%"
"08/25/2025","3.190","3.157","3.203","3.157","1.79%"
"08/22/2025","3.134","3.179","3.193","3.130","-1.35%"
"08/21/2025","3.177","3.122","3.184","3.121","1.50%"
"08/20/2025","3.130","3.148","3.153","3.123","-0.89%"
"08/19/2025","3.158","3.178","3.181","3.146","-0.44%"
"08/18/2025","3.172","3.177","3.177","3.132","0.00%"
"08/15/2025","3.172","3.100","3.173","3.098","2.42%"
"08/14/2025","3.097","3.059","3.099","3.046","0.81%"
"08/13/2025","3.072","3.121","3.122","3.066","-2.01%"
"08/12/2025","3.135","3.099","3.154","3.092","1.23%"
"08/11/2025","3.097","3.078","3.102","3.060","0.29%"
"08/08/2025","3.088","3.051","3.099","3.047","1.45%"
"08/07/2025","3.044","3.074","3.083","3.039","-0.56%"
"08/06/2025","3.061","3.057","3.072","3.051","0.69%"
"08/05/2025","3.040","3.045","3.063","3.019","-0.36%"
"08/04/2025","3.051","3.114","3.131","3.047","-2.05%"
"08/01/2025","3.115","3.150","3.166","3.068","-0.13%"
"07/31/2025","3.119","3.110","3.135","3.106","-0.70%"
"07/30/2025","3.141","3.133","3.149","3.099","0.77%"
"07/29/2025","3.117","3.116","3.138","3.098","0.16%"
"07/28/2025","3.112","3.140","3.141","3.101","-1.21%"
"07/25/2025","3.150","3.165","3.205","3.148","0.61%"
"07/24/2025","3.131","3.089","3.136","3.080","3.13%"
"07/23/2025","3.036","3.064","3.065","3.026","-0.16%"
"07/22/2025","3.041","3.070","3.079","3.037","-0.43%"
"07/21/2025","3.054","3.102","3.106","3.046","-2.83%"
"07/18/2025","3.143","3.138","3.152","3.131","0.58%"
"07/17/2025","3.125","3.146","3.160","3.113","-0.48%"
"07/16/2025","3.140","3.166","3.170","3.119","-0.54%"
"07/15/2025","3.157","3.151","3.157","3.107","-0.63%"
"07/14/2025","3.177","3.169","3.183","3.157","0.47%"
"07/11/2025","3.162","3.145","3.175","3.140","0.57%"
"07/10/2025","3.144","3.106","3.151","3.099","0.70%"
