CÓDIGO DE LA SERIE;DPUG0B1F0ZP;
NÚMERO SECUENCIAL;905796;
ALIAS DE LA SERIE;SI_1_2.4;
DESCRIPCIÓN DE LA SERIE;Tipo de interés. Mercados de deuda pública. Bonos y obligaciones del Estado no segregados. Conjunto del mercado. Oper. simples al contado. A 10 años;
DESCRIPCIÓN DE LAS UNIDADES;Porcentaje;
FRECUENCIA;LABORABLE;
31 DIC 2014;1,610;
01 ENE 2015;-;
02 ENE 2015;1,540;
05 ENE 2015;1,541;
06 ENE 2015;1,582;
07 ENE 2015;1,628;
08 ENE 2015;1,695;
09 ENE 2015;1,701;
12 ENE 2015;1,674;
13 ENE 2015;1,599;
14 ENE 2015;1,607;
15 ENE 2015;1,565;
16 ENE 2015;1,509;
19 ENE 2015;1,493;
20 ENE 2015;1,513;
21 ENE 2015;1,527;
22 ENE 2015;1,560;
23 ENE 2015;1,349;
26 ENE 2015;1,437;
27 ENE 2015;1,408;
28 ENE 2015;1,485;
29 ENE 2015;1,494;
30 ENE 2015;1,477;
02 FEB 2015;1,479;
03 FEB 2015;1,493;
04 FEB 2015;1,488;
05 FEB 2015;1,490;
06 FEB 2015;1,479;
09 FEB 2015;1,577;
10 FEB 2015;1,629;
11 FEB 2015;1,634;
12 FEB 2015;1,638;
13 FEB 2015;1,575;
16 FEB 2015;1,581;
17 FEB 2015;1,600;
18 FEB 2015;1,603;
19 FEB 2015;1,573;
20 FEB 2015;1,555;
23 FEB 2015;1,447;
24 FEB 2015;1,408;
25 FEB 2015;1,404;
26 FEB 2015;1,317;
27 FEB 2015;1,292;
02 MAR 2015;1,254;
03 MAR 2015;1,313;
04 MAR 2015;1,346;
05 MAR 2015;1,300;
06 MAR 2015;1,230;
09 MAR 2015;1,275;
10 MAR 2015;1,231;
11 MAR 2015;1,196;
12 MAR 2015;1,050;
13 MAR 2015;1,155;
16 MAR 2015;1,103;
17 MAR 2015;1,158;
18 MAR 2015;1,205;
19 MAR 2015;1,220;
20 MAR 2015;1,187;
23 MAR 2015;1,176;
24 MAR 2015;1,240;
25 MAR 2015;1,272;
26 MAR 2015;1,295;
27 MAR 2015;1,278;
30 MAR 2015;1,283;
31 MAR 2015;1,201;
01 ABR 2015;1,192;
02 ABR 2015;1,213;
03 ABR 2015;-;
06 ABR 2015;-;
07 ABR 2015;1,142;
08 ABR 2015;1,163;
09 ABR 2015;1,209;
10 ABR 2015;1,210;
13 ABR 2015;1,246;
14 ABR 2015;1,254;
15 ABR 2015;1,288;
16 ABR 2015;1,309;
17 ABR 2015;1,390;
20 ABR 2015;1,420;
21 ABR 2015;1,453;
22 ABR 2015;1,434;
23 ABR 2015;1,372;
24 ABR 2015;1,359;
27 ABR 2015;1,388;
28 ABR 2015;1,280;
29 ABR 2015;1,397;
30 ABR 2015;1,536;
01 MAY 2015;-;
04 MAY 2015;1,484;
05 MAY 2015;1,594;
06 MAY 2015;1,805;
07 MAY 2015;1,857;
08 MAY 2015;1,722;
11 MAY 2015;1,713;
12 MAY 2015;1,809;
13 MAY 2015;1,668;
14 MAY 2015;1,865;
15 MAY 2015;1,782;
18 MAY 2015;1,829;
19 MAY 2015;1,760;
20 MAY 2015;1,763;
21 MAY 2015;1,802;
22 MAY 2015;1,757;
25 MAY 2015;-;
26 MAY 2015;1,861;
27 MAY 2015;1,864;
28 MAY 2015;1,841;
29 MAY 2015;1,866;
01 JUN 2015;1,882;
02 JUN 2015;2,011;
03 JUN 2015;2,024;
04 JUN 2015;2,190;
05 JUN 2015;2,215;
08 JUN 2015;2,278;
09 JUN 2015;2,261;
10 JUN 2015;2,372;
11 JUN 2015;2,284;
12 JUN 2015;2,264;
15 JUN 2015;2,404;
16 JUN 2015;2,454;
17 JUN 2015;2,345;
